Country,Age,Gender,Perception regarding personal growth,Attitute toward personal growth,Consumer of personal growth program (Last 3 Years),Barrier to purchase,Personal Growth content invested,Audience Name,Financial Freedom Interest,Natural Products Interest,Spiritual Interest,Motivation Interest,Coaching 1:1 Interest,Top Interest (Cloud Word),Masterclass Awareness,Calm Awareness,Udemy Awareness,Mindvalley Awareness,Program Purchase Drivers
US,26-35,Male,Content that teaches,It is for Everyone,No,Awareness,,Great Resignation,Agree,Agree,Agree,Disagree,Disagree,"Watch TV,,,Do arts crafts,,Watch movies,Browse social media,,,Learn new skills,,Listen to music,,,,Play video games,,,,",Not Familiar,Familiar,Not Familiar,Familiar,Content Relevance
US,46-54,Female,Content that transforms,It is for Everyone,No,Awareness,,Holistic,Agree,Agree,Agree,Agree,Disagree,"Watch TV,,,,,,Browse social media,,,Learn new skills,,,,Go on a nightout,,,Spend time with my partner,,,",Not Familiar,Familiar,Very Familiar,Familiar,Content Relevance
US,36-45,Female,Content that transforms,It is for Everyone,No,Pricing,,Holistic,Agree,Agree,Disagree,Disagree,Agree,"Watch TV,Read books,,,Socialise meet friends,Watch movies,Browse social media,,Go for a walk,,,,,,Cook/bake,Play video games,,,Go to a restaurant,",Very Familiar,Very Familiar,Very Familiar,Familiar,Time Convience
US,55+,Female,Content that teaches,Time is a barrier,No,Pricing,,Bliss,Agree,No opinion,Disagree,Agree,Agree,"Watch TV,,,,,Watch movies,Browse social media,Exercise,Go for a walk,,,Listen to music,,,,Play video games,Spend time with my partner,,,",Not Familiar,Not Familiar,Very Familiar,Not Familiar,Affordability
US,26-35,Female,Content that transforms,Money is a barrier,No,Not Interested,,Spirituality Skeekers,Disagree,Agree,Agree,Agree,Agree,",,,,,,,,,,,Listen to music,Go on an excursion,,,,Spend time with my partner,,,",Very Familiar,Very Familiar,Very Familiar,Very Familiar,Content Relevance
US,18-25,Female,Content that entertains,It is for Everyone,Yes,,Selfawareness,Holistic,Agree,Agree,Agree,Agree,Agree,"Watch TV,,Play sports,Do arts crafts,,,,,,Learn new skills,,Listen to music,Go on an excursion,Go on a nightout,,Play video games,,,,",Very Familiar,Very Familiar,Familiar,Very Familiar,Affordability
US,46-54,Female,Content that teaches,It is for Everyone,No,Pricing,,Kensho,Disagree,Agree,Agree,Agree,Agree,"Watch TV,Read books,,,,Watch movies,,,,,,,,,Cook/bake,,,,,",Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that entertains,It is for Everyone,No,Pricing,,Connection Seeker,Agree,No opinion,Agree,Agree,Disagree,"Watch TV,Read books,,Do arts crafts,,Watch movies,,,,,,Listen to music,,,,Play video games,,,Go to a restaurant,",Familiar,Not Familiar,Familiar,Not Familiar,Time Convience
US,18-25,Female,Content that transforms,It is for Everyone,Yes,,Finding community,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,Do arts crafts,Socialise meet friends,Watch movies,,Exercise,,,,,Go on an excursion,Go on a nightout,Cook/bake,,Spend time with my partner,Spend time with the kids,Go to a restaurant,",Not Familiar,Very Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that teaches,It is for Everyone,Yes,,Holistic,Holistic,Agree,Disagree,Agree,Agree,Agree,"Watch TV,Read books,,Do arts crafts,,Watch movies,Browse social media,,,Learn new skills,Meditate practice mindfulness,Listen to music,,,Cook/bake,,,Spend time with the kids,,",Not Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
